DPPH1mg,
X,Y
792219.8705403195,0.36898891966759007
792221.107726841,0.36864635272391505
792251.9345416086,0.36914796860572485
792272.4729204802,0.3693477993228686
792286.7670259112,0.36942936288088646
792296.7228589164,0.3699921514312096
792313.8804767585,0.3694905355493998
792333.5070545767,0.369788242536165
792348.7057436386,0.369788242536165
792357.4412307749,0.36967405355494
792364.3675506497,0.3697229916897507
792371.5338498254,0.3707017543859649
792378.1774873156,0.3704081255771007
792383.1069869418,0.3710443213296399
792387.2100916817,0.3706038781163435
792389.5882324238,0.371117728531856
792395.0590387437,0.37053047091412744
792397.9472106819,0.3708730378578024
792400.7054690133,0.37150923361034166
792403.0174500484,0.37119113573407203
792404.5270942725,0.37170498614958447
792406.9040321107,0.37124007386888275
792409.1630853801,0.3720230840258541
792412.0931584659,0.37112588488765774
792413.5274207209,0.3721372730070791
792415.7525922009,0.3718518005540166
792417.2947148267,0.372292243767313
792419.3033636292,0.37249615266235764
792421.2059564163,0.37179470606340415
792422.993872378,0.37200677131425053
792424.3196728103,0.37309972299168975
792426.3435583937,0.37245129270544786
792427.9378068493,0.37261034164358264
792429.480330443,0.3733770390889505
792430.7546064972,0.37376854416743616
792432.2347795792,0.3738582640812558
792434.3085856689,0.37407848568790397
792436.6855235072,0.37361357340720225
792438.2601245346,0.37398060941828254
792439.666920487,0.37472691597414587
792441.4255657904,0.3746779778393352
792442.9032729196,0.37526401200369347
792459.1238888744,0.34154686057248385
792460.871708044,0.3415223915050785
792463.2478439463,0.34187719298245617
792449.3718672585,0.3760530501692828
792465.0285424854,0.3421055709449061
792467.1514671454,0.34106971375807943
792452.4639917568,0.37721057248384116
792468.3038489516,0.3423910433979686
792453.6706327501,0.3784092663127116
792470.1112118575,0.3422319944598338
792455.532024192,0.3781281028778085
792471.4479988108,0.3431365343182518
792472.9681082977,0.3436267313019391
792474.3103852683,0.34451886270436155
792475.4325467709,0.34590849582677025
792476.4017970929,0.3476437365343183
792477.445039124,0.34921174227697593
792478.4853148614,0.35078645239259143
792479.66789309,0.3520395325258451
792480.8104093164,0.3533831602031394
792482.0729664935,0.35445547310182923
792483.3005545507,0.3556068226875238
792484.6604982859,0.35645902393044016
792486.0322446298,0.35728454909202834
792487.4071034872,0.3581030393967375
792488.8207347633,0.35883389685514094
792490.2652629764,0.3594949215143121
792491.7518114483,0.360060972606956
792493.2493213807,0.36060224876885194
792494.7285171034,0.361184918436442
792496.2497092037,0.36167266851338875
792497.7627365948,0.362178872345337
792499.3278196462,0.3625674207448446
792500.9812710154,0.3627562403816559
792502.8189671445,0.3626922129886119
792504.3338239517,0.36303070175438595
792505.9679687155,0.36326315789473684
792507.445134538,0.3638504155124654
792509.2037798414,0.36380147737765467
792511.0781043902,0.3636546629732225
792512.4490638345,0.3643183864265928
792514.161547706,0.36388304093567253
792515.881098637,0.36441320406278854
792517.2097058446,0.3648454909202832
792519.1708399483,0.3646660510926439
792520.831649079,0.36451108033241
792522.5313520979,0.3650861034164358
792523.8184591257,0.36561218836565096
792526.394277053,0.36502493074792247
792527.9656703371,0.36572637734687596
792529.9488576765,0.3658242536164974
792532.9815785502,0.3660036934441367
792534.8490866442,0.3661994459833795
792537.529757683,0.3655387811634349
792538.2148113768,0.3664441366574331
792540.7006120057,0.3662239150507849
792543.3391814127,0.3666398891966759
792545.7491991044,0.3665909510618652
792548.3330363901,0.3666398891966759
792550.0050726226,0.36678670360110804
792555.3351392021,0.36651754385964913
792563.5527762679,0.36610156971375807
792569.9480141307,0.3668601108033241
792575.897576149,0.3671537396121884
792581.1193813897,0.367129270544783
792588.9496834434,0.36660726377346875
792598.0658896212,0.3671048014773777
792608.7807549016,0.3669335180055402
792618.3486514428,0.36690089258233305
792627.4245603444,0.3669987688519545
792642.8259386906,0.3670313942751616
792664.0553857747,0.3671415050784857
792685.268593658,0.36728831948291785
792704.3592778492,0.36732502308402587
792725.1707158753,0.3673984302862419
792753.7986225617,0.367471837488458
792755.4700573422,0.367129270544783
792812.0311937912,0.3673739612188366
792813.7411214922,0.36743513388734994
792886.276819931,0.3673984302862419
792887.9163777618,0.3676186518928901
792889.435645216,0.367129270544783
792901.5025743275,0.36733725761772856
792903.2125020286,0.3673984302862419
792904.9278427964,0.36744736842105263
792906.6485966312,0.36748407202216066
792908.3693504661,0.3675207756232687
792910.1009304348,0.3675330101569714
