ultramarin,
X,Y
791922.0482987844,0.367160868226601
791924.2561520089,0.36703304597701153
791926.3002463954,0.3671502919175333
791928.5768804194,0.3670946907498632
791930.684306646,0.36749650008323
791932.4457221087,0.3675334564860427
791934.9124076355,0.3678675815153648
791936.9774598132,0.36834623504574243
791939.1187329855,0.3681172687465791
791941.5785568334,0.36805368138634764
791943.5766055089,0.36862674466338263
791945.5752356825,0.3691978653530378
791947.5040204677,0.36909633278598797
791950.2367571826,0.369091732478432
791952.2001301296,0.3692629310344828
791952.4878834569,0.37034010673234813
791954.5008584454,0.3701838191023536
791956.60127794,0.3704148963464696
791958.585390042,0.3710345169677066
791960.6142096637,0.3715047849958949
791963.2820014745,0.3653105500821018
791962.5959473149,0.3721323378489327
791964.573031042,0.37277543787629996
791975.7235149655,0.33960239268121045
791966.5722446522,0.3733446095032841
791977.7199567705,0.3397278325123153
791968.6170884258,0.37376134629857694
791980.0896279176,0.33996541461412155
791972.5167687538,0.36571674876847293
791970.5446885949,0.37456975403667214
791982.1884688823,0.34020176518883416
791972.5114266535,0.37547391114491774
791984.3123164637,0.3403545771756979
791974.2586861205,0.37665828000740526
791977.2096440814,0.3654411603721949
791986.3383582929,0.34083412486233816
791976.1123462855,0.37771369611062816
791988.1779526564,0.3419365300167002
791977.7408409182,0.3795213135525052
791989.7528908211,0.3439230613736723
791983.1065486993,0.36567323481116587
791991.2449952938,0.34618631187778515
791992.8732716732,0.3479946584295142
791994.5264765552,0.349719727346474
791989.570900131,0.36536863711001644
791996.2701378169,0.3511426123131245
791998.0756138493,0.3523589951891223
791999.9707770725,0.35327576371343056
792001.7850196635,0.3544628605033968
791998.0269097221,0.365205459770115
792003.6915290758,0.3553417252748801
792005.5585161189,0.3563526208184424
792007.5740850727,0.3571389496855947
792005.7267090139,0.36485057471264365
792009.535240082,0.3575634672619048
792011.4118852717,0.35839110107644595
792009.5214036348,0.36485755336617404
792013.4989166044,0.35881790075944175
792015.3995341662,0.35936412151067326
792013.3641453669,0.36470402298850574
792017.4317565723,0.36017534868113915
792019.370156976,0.3608973441305443
792021.6097994768,0.3607136571223317
792023.7051321022,0.3609617278631672
792024.4721794233,0.3609662356321839
792026.7828254184,0.36155199781061853
792028.9851927296,0.3614425021285654
792031.0184996135,0.36159578544061305
792032.654823121,0.3634851043865822
792034.9592363588,0.3632288472211263
792037.0156331945,0.3634128499774766
792039.1794925702,0.3636261353839109
792041.4159975435,0.3634025974025974
792043.7059120727,0.3630006362889983
791952.2701149425,0.36512315270935963
791942.1385359952,0.36512315270935963
791936.0276769509,0.36502463054187195
791932.0069570477,0.36512315270935963
791928.9072897761,0.3652216748768473
791926.4216575922,0.365320197044335
791924.2430429521,0.3654187192118227
792018.8513309135,0.36423645320197046
792022.8720508167,0.3641379310344828
792027.5657894736,0.36384236453201974
792034.6914700544,0.361576354679803
792037.9801875377,0.361871921182266
792040.6843617664,0.3620689655172414
792042.9930429521,0.36256157635467984
